,Main Category,Child Category,GrandChild Category,Prompt,Translate
1933,Objects_and_Animals,Food and Consumables,,Jelly,果冻
1934,Objects_and_Animals,Food and Consumables,,Gelatin,明胶
1935,Objects_and_Animals,Food and Consumables,,Agar,琼脂
1936,Objects_and_Animals,Food and Consumables,,Wagyu,和牛
1937,Objects_and_Animals,Food and Consumables,,Tallow,桕树
1938,Objects_and_Animals,Food and Consumables,,Vegetable Oil,植物油
1939,Objects_and_Animals,Food and Consumables,,Olive Oil,橄榄油
1940,Objects_and_Animals,Food and Consumables,,Butter,黄油
1941,Objects_and_Animals,Food and Consumables,,Margarine,人造黄油
1942,Objects_and_Animals,Food and Consumables,,Peanut,花生
1943,Objects_and_Animals,Food and Consumables,,Peanut Butter,花生酱
1944,Objects_and_Animals,Food and Consumables,,Pizza,匹萨
1945,Objects_and_Animals,Food and Consumables,,Hotdog,热狗
1946,Objects_and_Animals,Food and Consumables,,Spaghetti,意大利面条
1947,Objects_and_Animals,Food and Consumables,,Fettuccine,意大利通心粉
1948,Objects_and_Animals,Food and Consumables,,Alfredo,阿尔弗雷多
1949,Objects_and_Animals,Food and Consumables,,Gnocchi,饺子
1950,Objects_and_Animals,Food and Consumables,,Macaroni,通心粉
1951,Objects_and_Animals,Food and Consumables,,Cheese,奶酪
1952,Objects_and_Animals,Food and Consumables,,Marconi and Cheese,马可尼和奶酪
1953,Objects_and_Animals,Food and Consumables,,Egg,鸡蛋
1954,Objects_and_Animals,Food and Consumables,,Egg Yolk,蛋黄
1955,Objects_and_Animals,Food and Consumables,,Beans,豆类
1956,Objects_and_Animals,Food and Consumables,,Bread,麵包
1957,Objects_and_Animals,Food and Consumables,,Made of Bread,面包制成的
1958,Objects_and_Animals,Food and Consumables,,Pretzel,椒盐饼
1959,Objects_and_Animals,Food and Consumables,,Sour Cream,酸奶油
1960,Objects_and_Animals,Food and Consumables,,Sauce,酱汁
1961,Objects_and_Animals,Food and Consumables,,Pasta Sauce,意大利面酱
1962,Objects_and_Animals,Food and Consumables,,Ketchup,番茄酱
1963,Objects_and_Animals,Food and Consumables,,Mustard,芥末酱
1964,Objects_and_Animals,Food and Consumables,,Mayonnaise,蛋黄酱
1965,Objects_and_Animals,Food and Consumables,,Coconut,椰子
1966,Objects_and_Animals,Food and Consumables,,Fruit,水果
1967,Objects_and_Animals,Food and Consumables,,Vegetable,蔬菜
1968,Objects_and_Animals,Food and Consumables,,Fig,画面
1969,Objects_and_Animals,Food and Consumables,,Mango,芒果
1970,Objects_and_Animals,Food and Consumables,,Wedding Cake,婚礼蛋糕
1971,Objects_and_Animals,Food and Consumables,,Cake Decorating,蛋糕装饰
1972,Objects_and_Animals,Food and Consumables,,Churros,玉米饼
1973,Objects_and_Animals,Food and Consumables,,Syrup,糖浆
1974,Objects_and_Animals,Food and Consumables,,Maple Syrup,枫叶糖浆
1975,Objects_and_Animals,Food and Consumables,,Cream,奶油
1976,Objects_and_Animals,Food and Consumables,,Whipped Cream,鲜奶油
1977,Objects_and_Animals,Food and Consumables,,Ice Cream,冰淇淋
1978,Objects_and_Animals,Food and Consumables,,Lollipop,棒棒糖
1979,Objects_and_Animals,Food and Consumables,,Taffy,塔菲
1980,Objects_and_Animals,Food and Consumables,,Floss,牙线
1981,Objects_and_Animals,Food and Consumables,,Chocolate,巧克力
1982,Objects_and_Animals,Food and Consumables,,Cinnamon,肉桂
1983,Objects_and_Animals,Food and Consumables,,Caramel,焦糖色
1984,Objects_and_Animals,Food and Consumables,,Marzipan,杏仁糖
1985,Objects_and_Animals,Food and Consumables,,Gum Paste,胶浆
1986,Objects_and_Animals,Food and Consumables,,Modeling Chocolate,建模巧克力
1987,Objects_and_Animals,Food and Consumables,,Edible Ink,可食用墨水
1988,Objects_and_Animals,Food and Consumables,,Food Coloring,食品着色剂
1989,Objects_and_Animals,Food and Consumables,,Food Dye,食品染色剂
1990,Objects_and_Animals,Food and Consumables,,Sprinkles,洒落
1991,Objects_and_Animals,Food and Consumables,,Nonpareils,杏仁饼
1992,Objects_and_Animals,Food and Consumables,,Fondant Icing,糖衣炮弹
1993,Objects_and_Animals,Food and Consumables,,Royal Icing,皇家冰激凌
1994,Objects_and_Animals,Food and Consumables,,Phyllo,皮耶罗
1995,Objects_and_Animals,Food and Consumables,,Honeycomb,蜂窝状
1996,Objects_and_Animals,Food and Consumables,,Cannoli,煎饼果子
1997,Objects_and_Animals,Food and Consumables,,Tart,馅饼
1998,Objects_and_Animals,Food and Consumables,,Soda,苏打灰
1999,Objects_and_Animals,Food and Consumables,,Coffee,咖啡
2000,Objects_and_Animals,Food and Consumables,,Tea,茶叶
2001,Objects_and_Animals,Food and Consumables,,Fried,油炸
2002,Objects_and_Animals,Food and Consumables,,Molecular Gastronomy,分子美食学
2003,Objects_and_Animals,Food and Consumables,,Gumdrop,树胶
2004,Objects_and_Animals,Food and Consumables,,Gum,胶质
2005,Objects_and_Animals,Food and Consumables,,Toothpaste,牙膏
2006,Objects_and_Animals,Food and Consumables,,Dessertwave,甜品波
2007,Objects_and_Animals,Plants,,Plant,植物
2008,Objects_and_Animals,Plants,,Grassy,长满草的
2009,Objects_and_Animals,Plants,,Fern,遥控
2010,Objects_and_Animals,Plants,,Wheat,小麦
2011,Objects_and_Animals,Plants,,Aloe,芦荟
2012,Objects_and_Animals,Plants,,Flowers,鲜花
2013,Objects_and_Animals,Plants,,Floral,花卉类
2014,Objects_and_Animals,Plants,,Vines,蔓生植物
2015,Objects_and_Animals,Plants,,Tulip,郁金香
2016,Objects_and_Animals,Plants,,Rose,蔷薇
2017,Objects_and_Animals,Plants,,Lilac,丁香花
2018,Objects_and_Animals,Plants,,Dandelion,蒲公英
2019,Objects_and_Animals,Plants,,Daffodil,水仙花
2020,Objects_and_Animals,Plants,,Tree Bark,树皮
2021,Objects_and_Animals,Plants,,Branches,分支机构
2022,Objects_and_Animals,Plants,,Leaves,叶子
2023,Objects_and_Animals,Plants,,Pinecone,松果
2024,Objects_and_Animals,Plants,,Acorn,橡子
2025,Objects_and_Animals,Plants,,Sapling,小树苗
2026,Objects_and_Animals,Plants,,Moss,苔藓
2027,Objects_and_Animals,Plants,,Hemp,大麻
2028,Objects_and_Animals,Plants,,Bamboo,竹子
2029,Objects_and_Animals,Plants,,Straw,秸秆
2030,Objects_and_Animals,Plants,,Hay,干草
2031,Objects_and_Animals,Plants,,Lily Pads,百合花垫子
2032,Objects_and_Animals,Plants,,Kelp,海带
2033,Objects_and_Animals,Plants,,Seaweed,海藻
2034,Objects_and_Animals,Fungi,,Fungi,真菌
2035,Objects_and_Animals,Fungi,,Mycelium,菌丝体
2036,Objects_and_Animals,Fungi,,Moldy,发霉的
2037,Objects_and_Animals,Fungi,,Ruber,鲁伯
2038,Objects_and_Animals,Fungi,,Muscaria,麝香树
2039,Objects_and_Animals,Fungi,,Stinkhorn,蜇伏
2040,Objects_and_Animals,Fungi,,Haematocephalus,血脑症
2041,Objects_and_Animals,Fungi,,Hochstetteri,浩斯泰特里
2042,Objects_and_Animals,Fungi,,Asprata,阿斯普里塔
2043,Objects_and_Animals,Fungi,,Cantharellus,坎特雷拉斯
2044,Objects_and_Animals,Fungi,,Calocera,Calocera
2045,Objects_and_Animals,Fungi,,Fuciformis,富贵鸟
2046,Objects_and_Animals,Fungi,,Mesenterica,肠系膜
2047,Objects_and_Animals,Fungi,,Collybia,科利比亚
2048,Objects_and_Animals,Fungi,,Trisulphuratus,三硫化物(Trisulphuratus)
2049,Objects_and_Animals,Fungi,,Zollingeri,邹林杰里
2050,Objects_and_Animals,Fungi,,Chlorociboria,氯化物
2051,Objects_and_Animals,Fungi,,Mycena Acicula,菌类 Acicula
2052,Objects_and_Animals,Fungi,,Amethystina,紫晶晶
2053,Objects_and_Animals,Animals,,Human,人类
2054,Objects_and_Animals,Animals,,Dragon,蜻蜓点水
2055,Objects_and_Animals,Animals,,Dog,犬类
2056,Objects_and_Animals,Animals,,Bulldog,斗牛犬
2057,Objects_and_Animals,Animals,,Zebra,斑马
2058,Objects_and_Animals,Animals,,Tiger,虎子
2059,Objects_and_Animals,Animals,,Cow,牛
2060,Objects_and_Animals,Animals,,Horse,马
2061,Objects_and_Animals,Animals,,Bear,熊
2062,Objects_and_Animals,Animals,,Grizzly Bear,灰熊
2063,Objects_and_Animals,Animals,,Panda,熊猫
2064,Objects_and_Animals,Animals,,Polar Bear,北极熊
2065,Objects_and_Animals,Animals,,Worms,蠕虫
2066,Objects_and_Animals,Animals,,Earthworm,蚯蚓
2067,Objects_and_Animals,Animals,,Caterpillar,卡特彼勒
2068,Objects_and_Animals,Animals,,Butterfly,蝴蝶
2069,Objects_and_Animals,Sealife,,Jellyfish,水母
2070,Objects_and_Animals,Sealife,,Sea Anemone,海葵
2071,Objects_and_Animals,Sealife,,Sea Urchin,海胆
2072,Objects_and_Animals,Sealife,,Crinoid,碎石类
2073,Objects_and_Animals,Sealife,,Eye,眼睛
2074,Objects_and_Animals,Sealife,,Pinkgill,粉红色的吉尔(Pinkgill)
2075,Objects_and_Animals,Corals,,Oculata,眼球
2076,Objects_and_Animals,Corals,,Zoanthid,虫类
2077,Objects_and_Animals,Corals,,Californica,加利福尼亚州
2078,Objects_and_Animals,Corals,,Euphylliidae,Euphylliidae
2079,Objects_and_Animals,Corals,,Annulata,取消了
2080,Objects_and_Animals,Corals,,Furcata,芙卡塔
2081,Objects_and_Animals,Corals,,Ricordea,リコディア
2082,Objects_and_Animals,Corals,,Secale,塞卡莱
2083,Objects_and_Animals,Corals,,Corynactis,Corynactis
2084,Objects_and_Animals,Corals,,Halicora,Halicora
2085,Objects_and_Animals,Corals,,Faulkneri,福尔克尼里
2086,Objects_and_Animals,Corals,,Strigosa,锶合金
2087,Objects_and_Animals,Corals,,Ancora,更多
2088,Objects_and_Animals,Corals,,Glabrescens,格拉布林斯(Glabrescens)
2089,Objects_and_Animals,Microscopic Objects,,Atom,原子
2090,Objects_and_Animals,Microscopic Objects,,Fullerene,富勒烯
2091,Objects_and_Animals,Microscopic Objects,,Nanoparticle,纳米粒子
2092,Objects_and_Animals,Microscopic Objects,,DNA,DNA
2093,Objects_and_Animals,Microscopic Objects,,Enzyme,酶制剂
2094,Objects_and_Animals,Digital Objects,,Vinyl Record,黑胶唱片
2095,Objects_and_Animals,Digital Objects,,CD,CD
2096,Objects_and_Animals,Digital Objects,,DVD,DVD
2097,Objects_and_Animals,Digital Objects,,Ray Disc,雷盘
2098,Objects_and_Animals,Digital Objects,,Capacitance Electronic Disc,电容式电子盘
2099,Objects_and_Animals,Digital Objects,,LaserDisc,激光唱片
2100,Objects_and_Animals,Digital Objects,,Holographic Versatile Disc,全息多用盘
2101,Objects_and_Animals,Digital Objects,,Transistor,晶体管
2102,Objects_and_Animals,Digital Objects,,Diode,二极管
2103,Objects_and_Animals,Digital Objects,,Wires,电线
2104,Objects_and_Animals,Digital Objects,,Cables,电缆
2105,Objects_and_Animals,Toys,,Toy,玩具
2106,Objects_and_Animals,Clothing,,Outfit,装备
2107,Objects_and_Animals,Clothing,,Wearable,可穿戴
2108,Objects_and_Animals,Clothing,,Jeans,裤子
2109,Objects_and_Animals,Clothing,,Tuxedo,燕尾服
2110,Objects_and_Animals,Clothing,,Polo,马球
2111,Objects_and_Animals,Clothing,,Fedora,Fedora
2112,Objects_and_Animals,Clothing,,Dress,礼服
2113,Objects_and_Animals,Clothing,,Dressed,穿着
2114,Objects_and_Animals,Clothing,,Hat,帽子
2115,Objects_and_Animals,Clothing,,Glasses,玻璃
2116,Objects_and_Animals,Clothing,,Wearing Glasses,佩戴眼镜
2117,Objects_and_Animals,Clothing,,Sunglasses,太阳镜
2118,Objects_and_Animals,Clothing,,Wearing Sunglasses,佩戴太阳镜
2119,Objects_and_Animals,Clothing,,Jumpsuit,连衣裙
2120,Objects_and_Animals,Instruments,,Piano,计划
2121,Objects_and_Animals,Instruments,,Accordion,手风琴
2122,Objects_and_Animals,Instruments,,Saxophone,萨克斯风
2123,Objects_and_Animals,Other Objects,,Seashell,贝壳
2124,Objects_and_Animals,Other Objects,,Toilet,厕所
2125,Objects_and_Animals,Other Objects,,Cage,笼子
2126,Objects_and_Animals,Other Objects,,Cheese Grater,奶酪刨花机
2127,Objects_and_Animals,Other Objects,,Slinky,琳琅满目
2128,Objects_and_Animals,Other Objects,,Bracelet,手链
2129,Objects_and_Animals,Other Objects,,Ribbons,丝带
2130,Objects_and_Animals,Other Objects,,Fingerprint,指纹
2131,Objects_and_Animals,Other Objects,,Stress Ball,压力球
2132,Objects_and_Animals,Other Objects,,Koosh Ball,库什球
2133,Objects_and_Animals,Other Objects,,Koosh,库什
2134,Objects_and_Animals,Other Objects,,s Cube,的立方体
2135,Objects_and_Animals,Other Objects,,Ball Pit,球坑
2136,Objects_and_Animals,Other Objects,,Zorb,玉米片
2137,Objects_and_Animals,Other Objects,,Flux Capacitor,通量电容
2138,Objects_and_Animals,Other Objects,,Tesla Valve,特斯拉阀门
2139,Objects_and_Animals,Other Objects,,Bench,长椅
2140,Objects_and_Animals,Other Objects,,Yardstick,码表
2141,Objects_and_Animals,Other Objects,,Car,汽车
2142,Objects_and_Animals,Other Objects,,Airplane,飞机
2143,Objects_and_Animals,Other Objects,,Blimp,飞艇
2144,Objects_and_Animals,Other Objects,,Hot Air Balloon,热气球
